uf,ano,estupro,estupro_vulneravel,estupro_feminino,estupro_vulneravel_feminino,estupro_masculino,estupro_vulneravel_masculino,estupro_nao_informado,estupro_vulneravel_nao_informado,inse,quantidade_alunos_inse,percentual_nivel_1,percentual_nivel_2,percentual_nivel_3,percentual_nivel_4,percentual_nivel_5,percentual_nivel_6,percentual_nivel_7,percentual_nivel_8,populacao,taxa_estupro_por_100k,taxa_estupro_vulneravel_por_100k,cluster_id,perfil
PA,2021,693,2985,662.0,2669.0,31.0,309.0,0.0,7.0,4.39,236738.0,5.09,28.48,23.33,19.94,12.61,6.22,3.84,0.49,8777124,7.895524775541509,34.00886212841473,1,Risco observado mais baixo
PB,2019,298,0,264.0,0.0,32.0,0.0,2.0,0.0,4.65,100773.0,3.04,23.51,20.71,19.27,14.53,9.27,7.91,1.76,4018127,7.416390771122964,0.0,1,Risco observado mais baixo
PB,2021,511,0,421.0,0.0,37.0,0.0,53.0,0.0,4.65,89415.0,2.53,20.61,21.63,22.31,16.07,9.7,6.25,0.89,4059905,12.586501408284184,0.0,1,Risco observado mais baixo
PE,2019,895,1945,793.0,1643.0,98.0,295.0,4.0,7.0,4.61,250843.0,3.02,23.25,21.58,20.3,14.67,8.98,7.06,1.13,9557071,9.364793878794035,20.35142356899933,1,Risco observado mais baixo
PE,2021,769,1988,698.0,1736.0,67.0,238.0,4.0,14.0,4.67,247632.0,2.24,18.54,22.49,23.56,16.71,9.36,6.38,0.73,9674793,7.948490474163117,20.54824325440348,1,Risco observado mais baixo
PI,2019,264,767,243.0,654.0,18.0,95.0,3.0,18.0,4.35,98604.0,5.76,33.78,19.87,16.39,11.5,6.51,5.18,1.0,3273227,8.065435119531887,23.432533093488477,1,Risco observado mais baixo
PI,2021,209,942,186.0,828.0,22.0,99.0,1.0,15.0,4.44,92265.0,4.38,28.27,22.53,19.74,13.14,6.74,4.28,0.92,3289290,6.3539548048363015,28.638399168209556,1,Risco observado mais baixo
PR,2019,1516,5685,1365.0,4779.0,151.0,902.0,0.0,4.0,5.45,306314.0,0.15,4.26,8.98,16.71,22.84,21.4,21.7,3.95,11433957,13.25875197886436,49.72031992074135,0,Risco observado mais alto
PR,2021,1450,5111,1322.0,4394.0,127.0,714.0,1.0,3.0,5.5,301195.0,0.16,3.15,7.76,16.08,23.21,22.41,22.73,4.49,11597484,12.502711795075552,44.06990343767665,0,Risco observado mais alto
RJ,2019,5450,0,4687.0,0.0,696.0,0.0,67.0,0.0,5.16,312708.0,0.52,8.13,14.86,21.41,21.34,15.87,15.19,2.68,17264943,31.566857764893868,0.0,2,Padrao atipico (inconsistencia de notificacao)
