ano,percentual_nivel_5,percentual_nivel_8,percentual_nivel_1,tipo_localizacao,quantidade_alunos_inse,percentual_nivel_3,sigla_uf,sigla_uf_nome,inse,percentual_nivel_2,percentual_nivel_4,rede,area,percentual_nivel_6,percentual_nivel_7
2021,25.86,2.95,0.06,Total (Urbana e Rural),2034,5.93,AL,Alagoas,5.53,1.53,15.32,Privada,Interior,26.57,21.79
2021,25.94,2.98,0.06,Urbana,1964,5.95,AL,Alagoas,5.53,1.51,15.23,Privada,Interior,26.52,21.8
2021,28.37,1.86,0.06,Total (Urbana e Rural),2274,9.17,SE,Sergipe,5.36,2.82,17.72,Privada,Interior,23.13,16.88
2021,28.25,1.9,0.06,Urbana,2207,9.18,SE,Sergipe,5.36,2.81,17.74,Privada,Interior,23.2,16.86
2021,22.33,4.83,0.06,Total (Urbana e Rural),1734,6.73,BA,Bahia,5.59,1.91,14.57,Privada,Interior,25.25,24.32
2021,18.39,6.44,0.06,Urbana,1502,2.77,MG,Minas Gerais,5.84,1.72,9.35,Federal,Interior,25.24,36.03
2021,18.88,8.85,0.06,Total (Urbana e Rural),36998,3.87,PR,Paraná,5.83,1.35,10.17,"Total (Federal, Estadual, Municipal e Privada)",Capital,22.84,33.99
2021,18.88,8.85,0.06,Urbana,36998,3.87,PR,Paraná,5.83,1.35,10.17,"Total (Federal, Estadual, Municipal e Privada)",Capital,22.84,33.99
2021,14.18,17.65,0.06,Total (Urbana e Rural),2087,1.99,MT,Mato Grosso,6.15,0.45,5.26,Privada,Interior,19.64,40.76
2021,14.15,17.64,0.06,Urbana,2079,1.99,MT,Mato Grosso,6.15,0.45,5.27,Privada,Interior,19.66,40.77
2019,19.12,8.72,0.08,Total (Urbana e Rural),2240,5.79,PI,Piauí,5.74,3.21,12.05,Privada,Capital,19.78,31.26
2019,19.12,8.72,0.08,Urbana,2240,5.79,PI,Piauí,5.74,3.21,12.05,Privada,Capital,19.78,31.26
2019,22.39,5.34,0.08,Total (Urbana e Rural),3152,6.54,BA,Bahia,5.58,2.44,16.13,Privada,Total (Capital e Interior),22.39,24.69
