ano,sigla_uf,sigla_uf_nome,gini
2019,AC,Acre,0.560
2019,AL,Alagoas,0.525
2019,AM,Amazonas,0.567
2019,AP,Amapá,0.513
2019,BA,Bahia,0.555
2019,CE,Ceará,0.562
2019,DF,Distrito Federal,0.554
2019,ES,Espírito Santo,0.518
2019,GO,Goiás,0.460
2019,MA,Maranhão,0.531
2019,MG,Minas Gerais,0.487
2019,MS,Mato Grosso do Sul,0.484
2019,MT,Mato Grosso,0.456
2019,PA,Pará,0.528
2019,PB,Paraíba,0.563
2019,PE,Pernambuco,0.573
2019,PI,Piauí,0.538
2019,PR,Paraná,0.476
2019,RJ,Rio de Janeiro,0.553
2019,RN,Rio Grande do Norte,0.555
2019,RO,Rondônia,0.472
2019,RR,Roraima,0.580
2019,RS,Rio Grande do Sul,0.481
2019,SC,Santa Catarina,0.422
2019,SE,Sergipe,0.580
2019,SP,São Paulo,0.527
2019,TO,Tocantins,0.531
2020,AC,Acre,0.515
2020,AL,Alagoas,0.509
2020,AM,Amazonas,0.533
2020,AP,Amapá,0.500
2020,BA,Bahia,0.532
2020,CE,Ceará,0.542
2020,DF,Distrito Federal,0.549
2020,ES,Espírito Santo,0.482
2020,GO,Goiás,0.445
2020,MA,Maranhão,0.482
2020,MG,Minas Gerais,0.460
2020,MS,Mato Grosso do Sul,0.470
2020,MT,Mato Grosso,0.463
2020,PA,Pará,0.479
2020,PB,Paraíba,0.515
2020,PE,Pernambuco,0.536
2020,PI,Piauí,0.474
2020,PR,Paraná,0.460
2020,RJ,Rio de Janeiro,0.549
2020,RN,Rio Grande do Norte,0.513
2020,RO,Rondônia,0.439
2020,RR,Roraima,0.540
2020,RS,Rio Grande do Sul,0.475
2020,SC,Santa Catarina,0.412
2020,SE,Sergipe,0.522
2020,SP,São Paulo,0.522
2020,TO,Tocantins,0.486
2021,AC,Acre,0.539
2021,AL,Alagoas,0.526
2021,AM,Amazonas,0.541
2021,AP,Amapá,0.530
2021,BA,Bahia,0.543
2021,CE,Ceará,0.550
2021,DF,Distrito Federal,0.567
2021,ES,Espírito Santo,0.507
2021,GO,Goiás,0.467
2021,MA,Maranhão,0.529
2021,MG,Minas Gerais,0.486
2021,MS,Mato Grosso do Sul,0.497
2021,MT,Mato Grosso,0.462
2021,PA,Pará,0.528
2021,PB,Paraíba,0.562
2021,PE,Pernambuco,0.580
2021,PI,Piauí,0.515
2021,PR,Paraná,0.475
2021,RJ,Rio de Janeiro,0.566
2021,RN,Rio Grande do Norte,0.588
2021,RO,Rondônia,0.458
2021,RR,Roraima,0.597
2021,RS,Rio Grande do Sul,0.467
